+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7543/livecomment             | 0.284  | 0.284  | 0.284   | 0.284  | 0.284  | 0.284  | 0.284  | 0.000  | 1870.000  | 1870.000   | 1870.000     | 1870.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/shoheinishimura0/icon              | 0.048  | 0.048  | 0.048   | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/user/kazuyasato0/statistics             | 3.484  | 3.484  | 3.484   | 3.484  | 3.484  | 3.484  | 3.484  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7523/livecomment/1133/report | 0.308  | 0.308  | 0.308   | 0.308  | 0.308  | 0.308  | 0.308  | 0.000  | 2626.000  | 2626.000   | 2626.000     | 2626.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7533/report                  | 0.260  | 0.260  | 0.260   | 0.260  | 0.260  | 0.260  | 0.260  | 0.000  | 2838.000  | 2838.000   | 2838.000     | 2838.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7525/exit                    | 0.272  | 0.272  | 0.272   | 0.272  | 0.272  | 0.272  | 0.272  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7496/enter                   | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7535/moderate                | 3.012  | 3.012  | 3.012   | 3.012  | 3.012  | 3.012  | 3.012  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/suzukijun0/icon                    | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7496/livecomment/1002/report | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 2253.000  | 2253.000   | 2253.000     | 2253.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7496/livecomment/1003/report | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 2297.000  | 2297.000   | 2297.000     | 2297.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/saitorei1/icon                     | 0.080  | 0.080  | 0.080   | 0.080  | 0.080  | 0.080  | 0.080  | 0.000  | 72861.000 | 72861.000  | 72861.000    | 72861.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/nakamuraryohei0/icon               | 0.052  | 0.052  | 0.052   | 0.052  | 0.052  | 0.052  | 0.052  | 0.000  | 80074.000 | 80074.000  | 80074.000    | 80074.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7497                         | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1466.000  | 1466.000   | 1466.000     | 1466.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7497/enter                   | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7497/exit                    | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7537/enter                   | 0.200  | 0.200  | 0.200   | 0.200  | 0.200  | 0.200  | 0.200  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kazuyasato0/theme                  | 0.028  | 0.028  | 0.028   | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 38.000    | 38.000     | 38.000       | 38.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/test                               | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 235.000   | 235.000    | 235.000      | 235.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/test/theme                         | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 38.000    | 38.000     | 38.000       | 38.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hyoshida0/icon                     | 0.052  | 0.052  | 0.052   | 0.052  | 0.052  | 0.052  | 0.052  | 0.000  | 67561.000 | 67561.000  | 67561.000    | 67561.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kazuya580/icon                     | 0.052  | 0.052  | 0.052   | 0.052  | 0.052  | 0.052  | 0.052  | 0.000  | 64525.000 | 64525.000  | 64525.000    | 64525.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hasegawanaoto0/icon                | 0.096  | 0.096  | 0.096   | 0.096  | 0.096  | 0.096  | 0.096  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/satoyoichi0/icon                   | 0.028  | 0.028  | 0.028   | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7497/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 2209.000  | 2209.000   | 2209.000     | 2209.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7532/livecomment/1113/report | 0.268  | 0.268  | 0.268   | 0.268  | 0.268  | 0.268  | 0.268  | 0.000  | 2631.000  | 2631.000   | 2631.000     | 2631.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7498/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1665.000  | 1665.000   | 1665.000     | 1665.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/matsumotokumiko0/icon              | 0.072  | 0.072  | 0.072   | 0.072  | 0.072  | 0.072  | 0.072  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7499/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1638.000  | 1638.000   | 1638.000     | 1638.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/user/yuitakahashi0/statistics           | 20.004 | 20.004 | 20.004  | 20.004 | 20.004 | 20.004 | 20.004 | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7500/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1654.000  | 1654.000   | 1654.000     | 1654.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7536/enter                   | 0.204  | 0.204  | 0.204   | 0.204  | 0.204  | 0.204  | 0.204  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7501/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1635.000  | 1635.000   | 1635.000     | 1635.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/user/hanako600/statistics               | 20.000 | 20.000 | 20.000  | 20.000 | 20.000 | 20.000 | 20.000 | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7502/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1635.000  | 1635.000   | 1635.000     | 1635.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/rikasakamoto0/icon                 | 0.032  | 0.032  | 0.032   | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7503/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1641.000  | 1641.000   | 1641.000     | 1641.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7544/livecomment             | 0.164  | 0.164  | 0.164   | 0.164  | 0.164  | 0.164  | 0.164  | 0.000  | 1913.000  | 1913.000   | 1913.000     | 1913.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7504/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1636.000  | 1636.000   | 1636.000     | 1636.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7540/moderate                | 2.464  | 2.464  | 2.464   | 2.464  | 2.464  | 2.464  | 2.464  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7505/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1643.000  | 1643.000   | 1643.000     | 1643.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /api/user/satomigoto0/statistics             | 20.000 | 20.000 | 20.000  | 20.000 | 20.000 | 20.000 | 20.000 | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7506/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1631.000  | 1631.000   | 1631.000     | 1631.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7542/livecomment             | 0.212  | 0.212  | 0.212   | 0.212  | 0.212  | 0.212  | 0.212  | 0.000  | 1944.000  | 1944.000   | 1944.000     | 1944.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7507/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1630.000  | 1630.000   | 1630.000     | 1630.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7540/report                  | 0.380  | 0.380  | 0.380   | 0.380  | 0.380  | 0.380  | 0.380  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7508/reaction                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1631.000  | 1631.000   | 1631.000     | 1631.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7540/ngwords                 | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7509/reaction                | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 1637.000  | 1637.000   | 1637.000     | 1637.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7535/livecomment/1098/report | 0.264  | 0.264  | 0.264   | 0.264  | 0.264  | 0.264  | 0.264  | 0.000  | 2605.000  | 2605.000   | 2605.000     | 2605.000  |
